,year,state,candidate,party,totalvotes,Eligible_voting_pop,electoralvotes,candidatevotes,state_won_flag,percent_won
230,1976,Pennsylvania,"Carter, Jimmy",democrat,4620787,0.0,27.0,2328677,1,50.4
231,1976,Pennsylvania,"Ford, Gerald",republican,4620787,0.0,27.0,2205604,0,47.73
232,1976,Pennsylvania,Other,communist party use,4620787,0.0,27.0,1891,0,0.04
233,1976,Pennsylvania,Other,u.s. labor,4620787,0.0,27.0,2744,0,0.06
234,1976,Pennsylvania,Other,american independent party,4620787,0.0,27.0,25344,0,0.55
235,1976,Pennsylvania,Other,independent,4620787,0.0,27.0,50584,0,1.09
236,1976,Pennsylvania,Other,unknown,4620787,0.0,27.0,2934,0,0.06
237,1976,Rhode Island,Other,socialist workers,410584,0.0,4.0,462,0,0.11
238,1976,Rhode Island,"Carter, Jimmy",democrat,410584,0.0,4.0,227636,1,55.44
239,1976,Rhode Island,"Ford, Gerald",republican,410584,0.0,4.0,181249,0,44.14
240,1976,Rhode Island,Other,communist party use,410584,0.0,4.0,334,0,0.08
241,1976,Rhode Island,Other,socialist labor,410584,0.0,4.0,188,0,0.05
242,1976,Rhode Island,Other,libertarian,410584,0.0,4.0,715,0,0.17
243,1976,South Carolina,Other,constitution party,802583,0.0,8.0,2996,0,0.37
244,1976,South Carolina,"Carter, Jimmy",democrat,802583,0.0,8.0,450807,1,56.17
245,1976,South Carolina,"Ford, Gerald",republican,802583,0.0,8.0,346149,0,43.13
246,1976,South Carolina,Other,american independent party,802583,0.0,8.0,1950,0,0.24
247,1976,South Dakota,Other,socialist workers,300678,0.0,4.0,168,0,0.06
248,1976,South Dakota,"Carter, Jimmy",democrat,300678,0.0,4.0,147068,0,48.91
249,1976,South Dakota,"Ford, Gerald",republican,300678,0.0,4.0,151505,1,50.39
250,1976,South Dakota,Other,communist party use,300678,0.0,4.0,318,0,0.11
251,1976,South Dakota,Other,libertarian,300678,0.0,4.0,1619,0,0.54
252,1976,Tennessee,Other,constitution party,1476346,0.0,10.0,5769,0,0.39
253,1976,Tennessee,Other,prohibition,1476346,0.0,10.0,442,0,0.03
254,1976,Tennessee,"Carter, Jimmy",democrat,1476346,0.0,10.0,825879,1,55.94
255,1976,Tennessee,"Ford, Gerald",republican,1476346,0.0,10.0,633969,0,42.94
256,1976,Tennessee,Other,communist party use,1476346,0.0,10.0,547,0,0.04
257,1976,Tennessee,Other,u.s. labor,1476346,0.0,10.0,512,0,0.03
258,1976,Tennessee,Other,libertarian,1476346,0.0,10.0,1375,0,0.09
259,1976,Tennessee,Other,american independent party,1476346,0.0,10.0,2303,0,0.16
260,1976,Tennessee,Other,independent,1476346,0.0,10.0,5004,0,0.34
261,1976,Texas,Other,constitution party,4071884,0.0,26.0,11442,0,0.28
262,1976,Texas,Other,socialist workers,4071884,0.0,26.0,1723,0,0.04
263,1976,Texas,"Carter, Jimmy",democrat,4071884,0.0,26.0,2082319,1,51.14
264,1976,Texas,"Ford, Gerald",republican,4071884,0.0,26.0,1953300,0,47.97
265,1976,Texas,Other,independent,4071884,0.0,26.0,20118,0,0.49
266,1976,Utah,Other,constitution party,541218,0.0,4.0,13304,0,2.46
267,1976,Utah,Other,socialist workers,541218,0.0,4.0,268,0,0.05
268,1976,Utah,"Carter, Jimmy",democrat,541218,0.0,4.0,182110,0,33.65
269,1976,Utah,"Ford, Gerald",republican,541218,0.0,4.0,337908,1,62.43
270,1976,Utah,Other,communist party use,541218,0.0,4.0,121,0,0.02
271,1976,Utah,Other,libertarian,541218,0.0,4.0,2438,0,0.45
272,1976,Utah,Other,american independent party,541218,0.0,4.0,1162,0,0.21
273,1976,Utah,Other,independent,541218,0.0,4.0,3907,0,0.72
274,1976,Vermont,Other,socialist workers,183902,0.0,3.0,430,0,0.23
275,1976,Vermont,"Carter, Jimmy",democrat,183902,0.0,3.0,77798,0,42.3
276,1976,Vermont,"Ford, Gerald",republican,183902,0.0,3.0,100387,1,54.59
277,1976,Vermont,Other,u.s. labor,183902,0.0,3.0,196,0,0.11
278,1976,Vermont,Other,independent,183902,0.0,3.0,4001,0,2.18
279,1976,Vermont,Other,unknown,183902,0.0,3.0,1090,0,0.59
280,1976,Virginia,Other,constitution party,1697094,0.0,12.0,16686,0,0.98
281,1976,Virginia,Other,socialist workers,1697094,0.0,12.0,17802,0,1.05
282,1976,Virginia,"Carter, Jimmy",democrat,1697094,0.0,12.0,813896,0,47.96
283,1976,Virginia,"Ford, Gerald",republican,1697094,0.0,12.0,836554,1,49.29
284,1976,Virginia,Other,u.s. labor,1697094,0.0,12.0,7508,0,0.44
285,1976,Virginia,Other,libertarian,1697094,0.0,12.0,4648,0,0.27
286,1976,Washington,Other,constitution party,1555534,0.0,9.0,1046,0,0.07
287,1976,Washington,Other,socialist workers,1555534,0.0,9.0,905,0,0.06
288,1976,Washington,"Carter, Jimmy",democrat,1555534,0.0,9.0,717323,0,46.11
289,1976,Washington,"Ford, Gerald",republican,1555534,0.0,9.0,777732,1,50.0
290,1976,Washington,Other,communist party use,1555534,0.0,9.0,817,0,0.05
291,1976,Washington,Other,socialist labor,1555534,0.0,9.0,713,0,0.05
292,1976,Washington,Other,u.s. labor,1555534,0.0,9.0,903,0,0.06
293,1976,Washington,Other,libertarian,1555534,0.0,9.0,5042,0,0.32
294,1976,Washington,Other,american independent party,1555534,0.0,9.0,8585,0,0.55
295,1976,Washington,Other,independent,1555534,0.0,9.0,36986,0,2.38
296,1976,Washington,Other,unknown,1555534,0.0,9.0,5482,0,0.35
297,1976,West Virginia,"Carter, Jimmy",democrat,750590,0.0,6.0,435864,1,58.07
298,1976,West Virginia,"Ford, Gerald",republican,750590,0.0,6.0,314726,0,41.93
299,1976,Wisconsin,Other,socialist workers,2101336,0.0,11.0,1691,0,0.08
300,1976,Wisconsin,"Carter, Jimmy",democrat,2101336,0.0,11.0,1040232,1,49.5
301,1976,Wisconsin,"Ford, Gerald",republican,2101336,0.0,11.0,1004987,0,47.83
302,1976,Wisconsin,Other,socialist labor,2101336,0.0,11.0,389,0,0.02
303,1976,Wisconsin,Other,libertarian,2101336,0.0,11.0,3814,0,0.18
304,1976,Wisconsin,Other,american independent party,2101336,0.0,11.0,8552,0,0.41
305,1976,Wisconsin,Other,independent,2101336,0.0,11.0,34943,0,1.66
306,1976,Wisconsin,Other,unknown,2101336,0.0,11.0,2430,0,0.12
307,1976,Wisconsin,Other,socialist,2101336,0.0,11.0,4298,0,0.2
308,1976,Wyoming,"Carter, Jimmy",democrat,156343,0.0,3.0,62239,0,39.81
309,1976,Wyoming,"Ford, Gerald",republican,156343,0.0,3.0,92717,1,59.3
310,1980,Alabama,Other,independent,1341929,2726249.0,9.0,16481,0,1.23
311,1980,Alabama,Other,prohibition,1341929,2726249.0,9.0,1743,0,0.13
312,1980,Alabama,"Carter, Jimmy",democrat,1341929,2726249.0,9.0,636730,0,47.45
313,1980,Alabama,Other,libertarian,1341929,2726249.0,9.0,13318,0,0.99
